;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
Brombær, rå;Blackberry, raw;1849;1849;146;171;35;41;1,3;0,9;1,3;9,1;3,8;5,3;5,3;0,5;0,0;0,0;0,5;11,3;88,7;9,2;0,0;55,5;;0,00;;;;;0,91;0,91;0,00;1,50;1,27;;2,67;;;;;;;;;2,7;0,00;;0,03;0,53;0,50;0,02;0,16;1,06;32;;;10,28;;;1,1;212,5;24,4;22,9;;0,5;0,0;0,3;0,6;0,0;10,8;;0,0;;;;31;;;;0,00;;;;;;;;292;2,69;;2,56;5,25;0,00;0,00;0,00;0,00;;5,25;;;;;0,00;;;4,60;0,69;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,21;14;56;48;0;5;36;28;38;1;45;60;24;125;204;184;47;30;70;0;0;262;753;;;8,5;;;;;;;;11,0;6,25;;;;51;Bærfrugt;Soft fruit
Kirsebærsaft, sur, koncentreret;Cherry juice, concentrated, sugar not added;513;513;248;172;59;41;0,5;;0,5;13,0;13,0;8,5;0,0;0,5;0,0;0,0;0,2;14,2;85,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,33;0,20;;;;;;;;;;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;8,50;0,00;8,50;;;0,00;;;;;;;;;;;;;;;;;;;;;;;0,00;;0,07;;0,02;;;;;;;;;0,00;;;0,12;;;;;;;;;;;;;0,07;;0,06;;;;;;;;;;;;;;;;;;;0,10;0,12;0,13;;;0,35;0,06;0,07;;0,08;26;38;50;6;5;26;16;29;8;36;22;18;41;800;50;31;43;43;;;;;;;;;;;;;;;0,0;6,25;0,700;1,102;;54;Bærjuice og bærsaft;Berry juices
Pærecider, tilsat sukker, alkohol<0,7%;Pear cider, sugar added, alcohol<0.7%;1881;1881;17;176;4;41;;;;;;9,3;0,0;0,0;0,6;0,0;0,0;10,4;89,6;0,0;0,0;0,0;;0,00;;;;;0,01;0,01;;;;;1,10;;;;;;;;;1,10;0,00;;0,00;0,03;0,03;0,00;0,00;0,09;2;;0,00;9,66;9,43;0,24;4,2;29,4;10,3;5,3;;0,0;0,0;0,0;0,0;0,0;;;1,9;;;;2;;;;1,18;;0,00;;;;;;51;1,95;0,00;1,27;3,22;0,00;0,00;6,08;6,08;;9,30;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;0,0;6,25;;1,036;3,3;194;Cider;Cider
A38, acidophilus tykmælk af letmælk, 1,5% fedt;Milk, acidophilus cultured from partly skimmed milk, 1.5% fat;1766;1766;186;171;44;41;3,7;;3,6;4,1;4,1;3,3;0,0;1,4;0,0;0,1;0,8;10,0;90,0;12,8;12,8;0,0;;0,05;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,03;;0,13;0,10;0,10;0,04;0,30;1,50;;;0,29;;;;37,8;145,0;127,0;11,0;;0,0;0,0;0,5;0,0;0,3;;;2,3;;;;93;;83,00;;9,50;;0,06;;;;;;497;0,00;0,00;0,00;;3,29;;0,00;3,29;;3,29;;;;;0,00;;;;;;;;;;;;;;;;;0,05;0,03;0,02;0,04;0,04;;0,13;0,01;0,36;;0,16;;;;;;;0,01;;0,02;;0,01;0,27;;;;;;;;;;0,06;;;0,03;0,01;0,01;;;;;;;;;;;;;;;;0,01;;0,03;0,83;0,31;0,04;0,07;;1,27;0,01;0,03;7;0,58;;;;;;;;;;;;;;;;;;;;;;;;;15,2;;;;;;;;0,0;6,38;0,883;;;5;Syrnede mælkeprodukter;Fermented milk products
Fersken, rå;Peach, raw;1853;1853;175;171;42;41;0,7;0,5;0,7;10,7;8,5;8,3;2,2;0,0;0,0;0,0;0,4;11,8;88,2;3,1;0,0;18,6;;0,00;;;;;0,76;0,76;0,00;0,00;0,00;;0,33;;;;;;;;;0,3;0,00;;0,03;0,37;0,37;0,03;0,15;0,00;3;;;4,92;;;0,1;215,0;7,1;9,3;;0,3;0,1;0,1;0,1;0,0;2,0;;0,0;;;;21;;;;0,00;;;;;;;;253;1,85;;1,61;3,46;0,00;0,00;4,83;4,83;;8,29;;;;;0,00;;;1,13;1,03;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,11;0;24;23;0;4;0;0;20;0;20;16;0;24;338;48;10;3;31;0;0;88;474;;;6,1;;;;;;;;12,3;6,25;;;;50;Stenfrugt;Stone fruit
Bambusskud, rå;Bamboo shoots, raw;1051;1051;173;173;41;41;3,6;;3,6;6,7;6,0;6,0;0,7;0,1;0,0;0,0;1,0;11,4;88,6;1,3;0,0;8,0;;0,00;0,00;;;;;;;;;;;;;;;;;;;;0,04;;0,12;0,50;0,50;;;;;;0,00;11,00;11,00;;0,0;500,0;18,0;;;0,3;;;;;;;;;;;50;;;;;;;;;;;;568;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08;;;0;0,58;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;30,0;6,25;0,800;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Havredrik, ikke beriget;Oat drink, unfortified;1690;1690;200;172;48;41;0,6;0,5;0,7;9,1;8,3;6,6;0,8;1,1;0,0;0,1;0,2;11,1;88,9;0,3;0,3;0,0;;0,00;;;;;0,23;0,23;0,00;0,00;0,00;;0,00;;;;;;;;;0,0;0,03;;0,01;0,19;0,00;0,01;0,04;2,15;0;;0,01;0,00;;;39,4;32,4;5,9;10,2;;0,1;0,0;0,2;0,0;0,0;12,0;;0,0;;;;16;;44,55;;0,21;;14,00;0,00;0,25;0,00;0,00;;148;0,00;;0,98;0,98;0,00;2,33;0,03;2,36;;3,34;;;;;3,29;;;0,00;0,00;0,79;;;;;;;;;;;;;;0,00;0,05;;;;;0,05;;0,02;0,01;;0,00;;0,00;;;;0,01;;0,18;0,48;;;;;;;;;;;;;0,25;;0,00;;;;;;;;;;;;;;;;0,00;;;0,13;0,67;0,25;0,00;;1,06;0,00;0,25;;0,11;0;51;28;0;22;36;28;23;12;37;46;0;32;61;146;37;37;37;0;0;186;446;;;;;;;;;;;0,0;5,83;0,940;1,034;;168;Plantebaserede alternativer til mælkeprodukter;Plant-based alternatives to dairy products
Parmesan, revet;Cheese, hard, Parmesan, grated;721;721;1781;1701;428;409;38,5;33,9;37,7;4,1;4,1;0,1;0,0;28,6;0,0;3,8;8,0;79,2;20,8;277,0;255,0;132,0;;0,27;0,27;;;;0,76;0,76;;;;;0,00;;;;;;;;;0,0;0,03;;0,49;8,96;0,11;0,05;0,33;1,50;10;;1,60;0,00;0,00;;1529,0;125,0;1109,0;38,0;;0,9;0,0;3,9;0,1;0,4;;;14,0;;;;729;;;;13,80;;4,00;0,10;1,00;0,02;0,70;;3531;;;;;;;;;;0,10;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,97;0,62;0,41;0,90;1,11;;3,17;;8,46;;2,89;;;;;;;0,41;;0,62;;;6,35;;;0,32;;;;;;;;;;0,59;;0,22;;;;;;;;;;;;;;;;;;;18,52;7,71;0,81;;;27,04;0,22;0,59;99;6,03;2110;3557;3074;1085;139;1989;2110;1326;530;2592;1206;1085;1206;2713;7535;784;4039;2170;;;17349;21900;11,900;0,003;14,1;5;;;;;;11,9035;0,0;6,38;0,945;;;13;Fast løbeost;Firm rennet cheese
Muskatnød, hel;Nutmeg, whole;1157;1157;2097;1680;507;408;6,0;;6,0;49,4;28,6;4,0;20,8;36,3;0,0;0,0;2,3;94,0;6,0;2,7;0,0;16,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,35;;0,06;1,30;1,30;0,16;;;76;;0,00;3,00;3,00;;16,0;350,0;184,0;183,0;;3,0;1,0;2,2;;;;;1,6;;;;213;;;;0,50;;;;;;;;949;;;;;0,00;;;0,00;;0,00;0,00;0,00;0,00;0,00;4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,94;3,22;0,35;;;29,05;0,00;0,35;0;0,96;;;;;;;;;;;;;;;;;;;;;;;;;8,8;;;;;;;;0,0;6,25;0,800;;;120;Krydderier;Spices
Flødeboller, skumboller;Whipped egg white and sugar with chocolate covering;330;330;1707;1702;406;405;4,2;;4,2;63,8;63,4;63,1;0,4;15,0;0,0;0,1;1,0;84,0;16,1;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,03;;0,08;0,81;0,81;0,02;;;3;;0,00;0,00;0,00;;31,0;132,5;81,0;22,0;;1,4;0,4;0,5;0,5;;;;0,5;;;;97;;;;6,00;;;;;;;;365;0,80;;2,70;3,50;;;42,90;42,90;;46,40;46,40;46,40;;;16,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,57;4,09;1,41;;;14,25;0,19;1,22;0;0,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;6,25;0,950;;;182;Slik;Candy
Lucerne, alfalfa, frø;Alfalfa seeds;1142;1142;1702;1702;405;405;35,1;;35,1;41,8;33,9;33,9;7,9;12,6;0,0;0,2;3,1;92,6;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;1,08;;0,58;1,80;1,80;;;;;;;26,00;26,00;;79,0;;136,0;;;12,9;;6,9;;9,1;;;90,0;;;;;;;;;;730,00;0,30;0,00;9,60;7,20;;228;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,97;;;;5,62;;;;;;;;;;;;;;;;;;;;;;;;;97,9;;;;;;;;0,0;6,25;0,950;0,750;;173;Tørrede bælgplanter;Dried pulses
Cheddar, 50+;Cheese, hard, Cheddar, Danish;321;321;1682;1682;405;405;25,8;23,1;25,7;0,0;0,0;0,1;0,0;33,1;0,0;1,7;3,0;63,3;36,7;305,3;281,0;146,0;;0,31;0,31;;;;0,84;0,84;;;;;0,00;;;;;;;;;0,0;0,04;;0,50;6,12;0,10;0,08;0,30;1,70;20;;1,50;0,00;0,00;;678,0;120,0;739,0;25,0;;0,4;0,0;4,0;0,1;0,3;;;9,0;;;;470;;;;10,44;;4,00;;;0,01;0,55;;2032;;;;;0,00;;;;;;0,00;0,00;;;0,00;;;;;;;;1,00;0,39;;;;;;2,10;1,39;1,13;0,72;0,47;1,03;1,28;;3,66;;9,79;;3,35;;;;;;;0,47;;0,72;;;7,35;;;0,38;;;;;;;;;;0,69;;0,25;;;;;;;;;;;;;;;;;;;21,42;8,92;0,94;;;31,28;0,25;0,69;109;4,11;1437;2423;2095;739;94;1355;1437;904;361;1766;821;739;821;1848;5134;534;2752;1479;;;11820;14921;3,500;0;16,5;68,4;;62,8;17,8;;;152,5;0,0;6,38;0,945;;;13;Fast løbeost;Firm rennet cheese
Risklid;Rice bran;1081;1081;1654;1666;398;401;13,4;10,6;14,0;49,7;28,7;28,7;21,0;20,9;0,0;0,0;10,0;93,9;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;2,75;;0,28;3,14;34,00;;;;;;;0,00;0,00;;5,0;1485,0;57,0;;;18,5;;;;;;;;;;;1677;;;;;;;;;;;;3243;;;;;;;;;;0,90;0,00;0,00;;;27,80;;;;;;11,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,10;;;0;2,24;583;1032;494;314;157;718;381;449;188;875;1010;292;785;1189;2020;606;606;673;;;2780;4168;;;32,2;;;;;;;;0,0;5,95;0,820;0,420;;30;Mel og klid;Flour and bran
Danablu 60+;Cheese, Danish Blue, 60 % fidm.;183;183;1682;1656;407;401;16,3;14,3;15,9;1,3;1,3;0,1;0,0;37,4;0,0;1,8;4,9;59,9;40,1;356,5;330,0;159,0;;0,34;0,34;;;;0,87;0,87;;;;;0,00;;;;;;;;;0,0;0,04;;0,50;4,74;1,00;0,23;1,73;1,50;36;2;1,23;0,00;0,00;;715,2;68,0;702,5;22,8;;0,1;0,1;4,0;0,0;0,7;6,0;;12,0;;;;396;;1106,70;;10,44;;1,32;;;0,01;0,50;;3011;0,10;0,00;0,00;0,10;0,00;;0,00;0,00;;0,10;0,00;0,00;;;0,00;;;;;;;;;;;;;;;0,03;;1,21;0,87;0,44;1,05;1,25;;3,79;0,39;11,60;;3,68;;;;;;;0,33;;0,59;;0,31;6,94;;;;;;;;;;1,05;;;0,60;0,11;0,15;;;;;;;;;;;;;;;;0,22;;0,77;24,29;8,16;0,86;1,27;;35,34;0,15;0,60;119;2,55;893;1505;1301;459;59;842;893;561;224;1097;510;459;510;1148;3188;332;1709;918;;;7339;9264;5,200;0;15,4;62,5;;6,5;15,8;;;90;0,0;6,38;0,945;;;15;Halvfast løbeost;Semi-firm rennet cheese
Müslibar;Granola bar;1591;1591;1830;1679;435;400;6,1;;6,7;70,8;67,3;57,8;3,5;15,0;0,0;0,6;1,5;93,4;6,7;8,0;;;;0,00;;;;;0,82;;;;;;;;;;;;;;;;0,28;;0,11;1,75;1,75;0,35;;;81;;0,00;1,00;;;237,6;326,0;60,0;101,0;;3,2;;1,6;;;;;16,0;;;;277;;394,20;;1,00;;;;;;;;1399;4,95;;7,07;12,02;1,04;4,51;13,50;19,06;;31,08;;;;;26,77;;;;;;;;;;;;;;;;;0,02;0,01;0,27;0,21;1,52;;0,67;0,00;2,45;0,00;1,66;0,05;;0,02;;0,01;;0,00;;0,00;0,00;0,07;4,88;;;0,00;;0,00;0,00;0,00;;0,00;0,02;0,00;0,00;1,66;0,00;0,03;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;0,00;;0,00;0,01;;0,00;6,90;4,96;1,69;0,02;;13,57;0,03;1,66;;1,07;;;;;;;;;;;;;;;;;;;;;;;;;31,2;;;;;;;;0,0;5,7;0,907;;;32;Kiks og småkager;Biscuits and cookies
Sukker, stødt melis (sakkarose);Sugar, sucrose, white;77;77;1698;1698;400;400;0,0;;0,0;99,9;99,9;99,9;0,0;0,0;0,0;0,0;0,0;99,9;0,1;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;0,0;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;;0,0;2,0;0,4;0,1;;0,1;0,0;0,0;0,0;2,0;0,0;;0,0;;;;0;;;;0,00;;3,20;;0,00;0,20;0,68;;3;;;;;;;99,90;99,90;;99,90;99,90;99,90;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,00;;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;0,0;6,25;0,800;;;102;Sukker;Sugar
And, kød og skind, rå;Duck, flesh and skin, raw;101;101;1650;1650;400;400;11,5;9,9;11,5;0,0;0,0;0,0;0,0;39,3;0,0;0,2;0,7;51,5;48,5;51,0;51,0;0,0;;1,00;1,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,20;;0,21;6,32;3,93;0,19;0,95;6,00;48;7;0,25;2,80;2,80;;86,0;297,0;11,0;22,0;;1,2;0,1;1,4;0,0;;;;24,0;;;;139;;;;1,20;;;;;;;;556;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,05;;0,25;;9,62;;3,21;;;;;;;;;1,55;;;16,78;;;0,40;;0,00;;;;;;;;4,72;;0,39;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;13,14;18,73;5,11;;;36,98;0,39;4,72;76;1,84;533;901;919;294;180;460;386;478;143;570;772;276;772;1103;1709;919;680;496;;;4573;7017;;;31;;;;;;;;28,0;6,25;0,940;;;84;And og gås;Duck and goose
Blandet frugt- og grøntsagsjuice;Mixed fruit and vegetable juice;1871;1871;182;169;43;40;0,6;;0,6;10,0;9,8;9,0;0,2;0,1;0,0;0,0;0,3;11,0;89,0;71,7;0,0;430,0;;0,00;;;;;0,87;0,87;;;;;0,10;;;;;;;;;0,1;0,04;;0,03;0,19;0,19;0,14;0,09;0,81;3;;0,00;6,22;6,10;0,12;5,0;135,0;13,7;6,9;;0,1;0,0;0,0;0,0;;;;0,5;;;;11;;;;3,50;;;;;;;;172;4,50;0,00;2,34;6,84;0,00;0,00;2,16;2,16;;9,00;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,10;;;;;;;;;;;;;;;;;;;;;;;;;6,2;;;;;;;;0,0;6,25;;1,039;3,9;186;Frugtjuice, frugtsaft og smoothies;Fruit juice and smoothies
Soja sauce;Soya sauce;92;92;237;171;56;40;6,9;6,4;6,9;7,0;7,0;3,1;0,0;0,0;0,0;14,1;15,3;29,2;70,8;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;0,0;;;;;;;;;;;0,03;;0,17;3,85;2,20;0,15;0,30;;14;;0,00;0,00;0,00;;5637,0;217,0;19,0;43,0;;1,9;0,1;0,5;0,4;;;;0,5;;;;125;;;;4,50;;;;;;;;6043;;;;0,50;;;;1,10;;1,60;;;;;1,50;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,00;;0,00;;;;;;;;;0,00;;;0,00;;;0,00;;0,00;;;;;;;;0,00;;0,03;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,00;0,00;0,03;;;0,03;0,03;0,00;0;1,10;331;551;397;100;121;364;253;275;99;342;474;176;297;738;1653;308;507;397;;;2634;4749;0,015;0;18,3;39;;;;;;39,015;0,0;6,25;0,800;1,120;;124;Bouillon, ekstrakter o.l.;Bouillon, extracts and the like
Stjernefrugt, rå;Carambola, raw;579;579;140;168;33;40;1,0;;1,0;8,0;5,2;6,8;2,8;0,3;0,0;0,0;0,5;9,9;90,2;65,8;0,0;395,0;;0,00;0,00;;;;;;;;;;;;;;;;;;;;0,01;;0,02;0,49;0,37;;;;;;0,00;34,40;34,40;;2,0;133,0;3,0;10,0;;0,1;0,1;0,1;0,0;;;;1,0;;;;12;;;;0,10;;;;;;;;160;2,90;;2,83;5,73;;;0,90;0,90;;6,63;0,00;0,00;0,00;0,00;0,20;;;;;;0,92;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,10;0,10;0,19;;;0,23;0,03;0,16;0;0,17;45;76;76;22;;37;45;45;8;50;22;8;71;98;148;50;50;83;;;366;566;;;7,6;;;;;;;;5,0;6,25;0,700;;;52;Sydfrugt;Tropical or subtropical fruit
Æblecider, tilsat sukker, alkohol<0,7%;Apple cider, sugar added, alcohol<0.7%;1882;1882;17;168;4;40;;;;;;8,8;0,0;0,0;0,6;0,0;0,0;9,7;90,3;0,0;0,0;0,0;;0,00;;;;;0,01;0,01;;;;;1,10;;;;;;;;;1,10;0,00;;0,00;0,03;0,03;0,00;0,00;0,09;2;;0,00;1,81;1,70;0,11;3,8;28,3;10,3;1,9;;0,1;0,0;0,0;0,0;0,0;;;1,2;;;;2;;;;0,92;;0,00;;;;;;46;2,27;0,00;1,51;3,77;0,00;0,00;5,07;5,07;;8,85;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;0,0;6,25;;1,034;3,2;194;Cider;Cider
Blandet frugtjuice;Mixed fruit juice;1867;1867;6;168;2;40;0,3;;0,3;;;9,5;0,1;0,0;0,0;0,0;0,3;11,8;88,2;3,4;0,0;20,7;;0,00;;;;;0,04;0,04;;;;;0,90;;;;;;;;;0,9;0,03;;0,00;0,18;0,18;0,04;0,08;0,60;11;;0,00;9,71;9,56;0,15;1,6;131,0;13,9;7,5;;0,1;0,0;0,0;0,5;0,0;;;1,1;;;;10;;;;0,94;;2,81;;;;;;164;4,43;0,00;2,57;7,00;0,00;0,00;2,50;2,50;;9,49;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,05;;;;;;;;;;;;;;;;;;;;;;;;;3,5;;;;;;;;0,0;6,25;;1,044;3,7;186;Frugtjuice, frugtsaft og smoothies;Fruit juice and smoothies
Æg, høne, æggehvide, pasteuriseret;Eggs, chicken, egg white, pasteurized;187;187;185;170;43;40;9,0;8,0;9,0;1,9;1,9;1,0;0,0;0,0;0,0;1,1;1,2;12,1;87,9;0,0;;;;0,00;;;;;0,00;;;;;;;;;;;;;;;;0,01;;0,32;2,41;0,10;0,00;0,14;12,10;16;;0,10;0,50;;;437,8;150,5;9,0;10,8;;0,0;0,0;0,0;0,0;0,5;;;7,8;;;;55;;182,25;;3,18;;;;;;;;845;;;;;;;;;;1,00;0,00;0,00;;;0,00;0,00;0,00;;;;0,00;0,00;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,00;;0,00;;;;;;;;;0,00;;;0,00;;;0,00;;0,00;;;;;;;;0,00;;0,00;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,00;0,00;0,00;;;;0,00;0,00;0;1,44;547;778;562;346;216;562;360;403;138;677;518;202;576;792;1253;331;331;662;;;4213;5040;;;2,5;;;;;;;;0,0;6,25;0,830;1,035;;88;Flydende æg;Liquid egg
Bouillon, hønsekød, spiseklar;Bouillon, chicken, prepared;277;277;18;17;4;4;0,3;;0,3;0,3;0,3;0,2;0,0;0,2;0,0;0,8;0,9;1,7;98,3;0,0;0,0;0,0;;0,01;;;;;0,01;0,01;;;;;;;;;;;;;;;0,00;;0,01;0,04;0,04;0,00;;;1;;0,00;0,00;0,00;;313,0;6,0;6,0;2,0;;0,0;0,0;0,0;;;;;0,5;;;;3;70,0;;;0,30;;;;;;;;330;;;;;;;;;;0,20;;;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,04;;0,01;;;;;;;;;;;;0,08;;;0,00;;0,00;;;;;;;;0,07;;0,00;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,05;0,08;0,07;;;0,21;0,00;0,07;0;0,05;;;;;;;;;;;;;;;;;;;;;;;;;1,9;;;;;;;;0,0;6,25;0,900;1,040;;124;Bouillon, ekstrakter o.l.;Bouillon, extracts and the like
Koncentreret læskedrik, tilsat kunstig sødestof, fortyndes 1+9;Concentrated soft drink, not carbonated, artificial sweetener added, dilution 1+9;1901;1901;4;16;1;4;0,3;;0,3;;;0,7;0,0;0,0;0,0;0,2;0,3;3,4;96,6;66,3;0,0;397,6;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,02;0,02;0,00;0,00;0,07;1;;0,00;32,37;32,13;0,25;78,4;41,4;6,1;1,3;;0,0;0,0;0,0;0,0;0,0;;;0,0;;;;1;;;;0,32;;0,38;;;;;;129;0,27;0,00;0,24;0,51;0,00;0,00;0,17;0,17;;0,68;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,04;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,010;2,8;106;Andre drikkevarer;Other beverages
Sakkarin;Saccharin;486;486;1531;16;360;4;0,9;;0,9;89,1;89,1;0,0;0,0;0,0;0,0;1,1;1,2;91,3;8,8;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;;0,00;0,00;0,00;;428,0;4,0;0,0;0,0;;0,0;0,0;0,0;;;;;0,0;;;;0;;;;;;;;;;;;432;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,00;;0,00;;;;;;;;;0,00;;;0,00;;;0,00;;0,00;;;;;;;;0,00;;0,00;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,15;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,700;0,950;;101;Andre sukkervarer;Other sweet products
