FødevareNavn;FoodName;FoodID;TaxonomicName;NCBI;FoodEx2Code;FoodEx2Description;FoodOntology;LangualCode;EurofirFoodClassificationCode;Nøglehulsmærket;FoodGroupID;FødevareGruppe;FoodGroup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Citron, rå;Lemon, raw;21;Citrus limon (Linnaeus, 1753) (Osbeck, 1768);2708;A01BY#F20.A07QF$F20.A07RD;Lemons, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o seeds;FOODON_03301441;A0143,A0455,A0629,A0668,A0707,A0732,A0833,B1275,C0137,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;52;Sydfrugt;Tropical or subtropical fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dild, rå;Dill, raw;22;Anethum graveolens (Linnaeus, 1753);40922;A00XH#F20.A07QG;Dill leaves, PART-CONSUMED-ANALYSED = With stem;FOODON_03310090;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B1277,C0150,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0857;1;44;Krydderurter;Herbs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grønkål, rå;Kale, raw;23;Brassica oleracea var. acephala (Linnaeus, 1753);3713;A00GR#F20.A07RP$F20.A07QH;Stem kale, PART-CONSUMED-ANALYSED = W/o roots, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03304859;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B1281,C0200,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulerod, uspec., rå;Carrot, raw;24;Daucus carota (Linnaeus, 1753) subsp. sativus (Hoffmann, 1791) (Schübler & G. Martens, 1834);79200;A00QH#F20.A07QF$F20.A07RM;Carrots, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops;FOODON_03311673;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B1227,C0239,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hornfisk, rå;Garfish, raw;25;Belone belone (Linnaeus, 1761);129037;A02BS#F21.A07RY$F03.A06HZ;Garfish, PRODUCTION-METHOD = Wild or gathered or hunted, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03309424;A0267,A0460,A0634,A0717,A0727,A0747,A0802,B3351,C0265,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0802;1;72;Mellemfed fisk;Somewhat oily fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hvidkål, rå;Cabbage, white, raw;26;Brassica oleracea (Linnaeus, 1753) cultivar Capitata (L.) Alef. var alba DC;3716;A00GC#F20.A07RK$F20.A07RP;White cabbage, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o roots;FOODON_03401475;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B2071,C0151,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyben, rå;Rose hip, raw;27;Rosa rugosa (Thunberg, 1784);74645;A0DSQ#F20.A07RD$F20.A07RR$F20.A07QH;Rugosa rose, PART-CONSUMED-ANALYSED = W/o seeds, PART-CONSUMED-ANALYSED = W/o sepals, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03304566;A0143,A0455,A0629,A0649,A0707,A0732,A0833,B1225,C0140,E0150,F0003,G0003,H0001,J0001,K0003,M0001,N0001,P0024,Z0001;A0833;1;51;Bærfrugt;Soft fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyldebær, rå;Elderberry, raw;28;Sambucus nigra (Linnaeus, 1753);4202;A01FX#F20.A07QH;Elderberries, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03311347;A0143,A0455,A0629,A0671,A0707,A0732,A0833,B1403,C0140,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;51;Bærfrugt;Soft fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laks, atlantisk, vild, rå;Salmon, Atlantic, wild, raw;30;Salmo salar (Linnaeus, 1758);8030;A028P#F21.A07RY$F03.A06HZ;Atlantic salmon, PRODUCTION-METHOD = Wild or gathered or hunted, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03308268;A0267,A0460,A0634,A0717,A0727,A0746,A0802,B1587,C0265,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0802;1;73;Fed fisk;Oily fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Majskolbe, rå;Sweetcorn, on-the-cob, raw;31;Zea mays (Linnaeus, 1753);4577;A00KP#F20.A07RF;Sweet corn, PART-CONSUMED-ANALYSED = W/o cob;FOODON_00003428;A0125,A0457,A0631,A0683,A0696,A0729,A0826,B1232,C0242,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;41;Frugt-grøntsager;Fruit -Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kærnemælk;Milk, buttermilk;32;Bos taurus (Linnaeus, 1758);9913;A02MY#F28.A07HV$F28.A07LJ$F07.A06YN;Cultured buttermilk, PROCESS = Pasteurisation, PROCESS = Homogenizing or emulsifying, FAT-CONTENT = 0.5 % fat;FOODON_03301501;A0148,A0452,A0626,A0719,A0724,A0740,A0783,B1201,C0216,E0130,F0018,G0003,H0101,J0131,J0135,K0003,M0142,N0017,P0024,Z0001;A0783;1;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Letmælk, konventionel (ikke-økologisk);Milk, partly skimmed, konventional (not organic), 1.5 % fat;33;Bos taurus (Linnaeus, 1758);9913;A02LZ#F28.A07HV$F28.A07LJ$F21.A0C6Y$F07.A06ZA;Cow milk, semi skimmed (half fat), PROCESS = Pasteurisation, PROCESS = Homogenizing or emulsifying, PRODUCTION-METHOD = Conventional (non-organic) production, FAT-CONTENT = 1.5 % fat;FOODON_03317576;A0148,A0452,A0626,A0719,A0724,A0740,A0780,B1201,C0235,E0123,F0018,G0003,H0247,H0306,J0131,J0135,K0003,M0142,N0017,P0024,Z0001;A0780;0;4;Usyrnede mælkeprodukter;Unfermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Makrel, rå;Mackerel, raw;34;Scomber scombrus (Linnaeus, 1758);13677;A02CV#F21.A07RY$F03.A06HZ;Mackerel, atlantic, PRODUCTION-METHOD = Wild or gathered or hunted, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03308036;A0267,A0460,A0634,A0717,A0727,A0747,A0802,B1790,C0265,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0802;1;73;Fed fisk;Oily fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mandel, rå;Almond, raw;35;Prunus dulcis (Miller, 1768) (D. A. Webb, 1967);3755;A014F;Almonds sweet;FOODON_03311337;A0260,A0455,A0629,A0685,A0703,A0730,A0823,B1272,C0135,E0150,F0003,G0003,H0138,J0116,K0003,M0166,N0036,P0024,Z0001;A0823;1;53;Nødder;Nuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vandmelon, rå;Watermelon, raw;36;Citrullus lanatus (Thunberg, 1773) (Matsumura & Nakai, 1920);3654;A00KJ#F20.A07QF$F20.A07RD;Watermelons, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o seeds;FOODON_03301040;A0143,A0455,A0629,A0670,A0707,A0732,A0833,B1582,C0140,E0150,F0003,G0003,H0001,J0001,K0003,M0001,N0001,P0024,Z0001;A0833;1;52;Sydfrugt;Tropical or subtropical fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peberfrugt, grøn, rå;Pepper, sweet, green, raw;37;Capsicum annuum var. annuum (Linnaeus 1753);40321;A00JA#F10.A0F2Q$F20.A07RD$F20.A07QH;Sweet peppers, QUALITATIVE-INFO = Green, PART-CONSUMED-ANALYSED = W/o seeds, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03306726;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B2629,C0169,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0051;A0826;1;41;Frugt-grøntsager;Fruit -Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peberfrugt, rød, rå;Pepper, sweet, red, raw;38;Capsicum annuum var. annuum (Linnaeus 1753);40321;A00JA#F10.A0F2S$F20.A07RD$F20.A07QH;Sweet peppers, QUALITATIVE-INFO = Red, PART-CONSUMED-ANALYSED = W/o seeds, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03306732;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B2630,C0139,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;41;Frugt-grøntsager;Fruit -Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Radise, rå;Radish, raw;39;Raphanus sativus var. sativus (Linnaeus, 1753);240228;A00QV#F20.A07RM;Radishes, PART-CONSUMED-ANALYSED = W/o tops;FOODON_03304656;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B1315,C0239,E0150,F0003,G0003,H0003,J0001,K0003,M0001,N0001,P0024,Z0001;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ribs, rå;Currant, red, raw;40;Ribes rubrum (Linnaeus, 1753);175228;A01FP#F20.A07QH;Redcurrants, PART-CONSUMED-ANALYSED = W/o stem;FOODON_00003008;A0143,A0455,A0629,A0671,A0707,A0732,A0833,B1055,C0167,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;51;Bærfrugt;Soft fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosenkål, uspec., rå;Brussels sprouts, raw;41;Brassica oleracea  var. gemmifera (Linnaeus, 1753);178616;A00FV#F20.A07QH;Brussels sprouts, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03301714;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B1611,C0151,E0150,F0003,G0003,H0003,J0001,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rødbede, rå;Beet, red, raw;43;Beta vulgaris var. Conditiva (Linnaeus, 1753);161934;A00QG#F20.A07QF$F20.A07RM;Beetroots, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops;FOODON_00004137;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B2940,C0239,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rødkål, rå;Cabbage, red, raw;44;Brassica oleracea (Linnaeus, 1753) convar. capitata L. var. Rubra;3716;A00GA#F20.A07RK$F20.A07QH;Red cabbages, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03304685;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B2072,C0151,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rødspætte, rå;Plaice, raw;45;Pleuronectes platessa (Linnaeus, 1758);8262;A02BE#F21.A07RY$F03.A06HZ;Plaice, european, PRODUCTION-METHOD = Wild or gathered or hunted, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03542339;A0267,A0460,A0634,A0717,A0727,A0747,A0802,B1861,C0265,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0802;1;70;Mager fisk;Lean fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selleri, rod, rå;Celeriac, celery root, raw;46;Apium graveolens var. rapaceum (Linnaeus, 1753);278110;A00QJ#F20.A07QF$F20.A07RM$F20.A07QH;Celeriacs, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops, PART-CONSUMED-ANALYSED = W/o stem;FOODON_00004131;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B1729,C0238,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sild, marineret;Herring, pickled, canned;47;NULL;NULL;A0F0P#F27.A02DF$F28.A0BYP$F28.A0CRH$F06.A06YC$F10.A077J$F10.A0CJK$F03.A06HZ;Marinated / pickled fish, SOURCE-COMMODITIES = Herring, atlantic, PROCESS = Canning / jarring, PROCESS = Seasoning, SURROUNDING-MEDIUM = In vinegar, pickles and similar, QUALITATIVE-INFO = With added sugar, QUALITATIVE-INFO = With added salt, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03309210;A0267,A0460,A0634,A0717,A0727,A0747,A0803,B1414,C0268,E0152,F0003,G0003,H0151,H0158,H0173,H0190,H0200,J0100,J0131,K0010,M0132,N0040,P0024,Z0001;A0803;0;79;Fiskeprodukter;Fish products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sild, rå;Herring, raw;48;Clupea harengus (Linnaeus, 1758);7950;A02DF#F21.A07RY$F03.A06HZ;Herring, atlantic, PRODUCTION-METHOD = Wild or gathered or hunted, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03308102;A0267,A0460,A0634,A0717,A0727,A0747,A0802,B1414,C0265,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0802;1;73;Fed fisk;Oily fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spidskål, rå;Cabbage, pointed, raw;49;Brassica oleracea (Linnaeus, 1753) cultivar Capitata var. conica;3716;A00FZ#F20.A07RK$F20.A07RP$F20.A07QH;Pointed head cabbages, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o roots, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03401466;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B3355,C0151,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spinat, rå;Spinach, raw;50;Spinacia oleracea (Linnaeus, 1753);3562;A00MJ;Spinaches;FOODON_03301716;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B1420,C0200,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stikkelsbær, rå;Gooseberry, raw;51;Ribes uva-crispa (Linnaeus, 1753);135518;A0CFN#F20.A07QH Gooseberries (green, red and yellow), PART-CONSUMED-ANALYSED = W/o stem;Gooseberries (green, red and yellow), PART-CONSUMED-ANALYSED = W/o stem;FOODON_00003543;A0143,A0455,A0629,A0671,A0707,A0732,A0833,B1394,C0167,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0833;1;51;Bærfrugt;Soft fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tomat, uspec., rå;Tomato, ripe, raw, origin unknown;52;Solanum lycopersicum  (Linnaeus, 1753);4081;A0DMX#F20.A07QH;Tomatoes, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03309927;A0152,A0455,A0629,A0650,A0705,A0731,A0826,B1276,C0140,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;41;Frugt-grøntsager;Fruit -Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vindrue, rå;Grape, raw;54;Vitis vinifera (Linnaeus, 1753);29760;A01DX#F20.A07RD$F20.A07QH;Table grapes, PART-CONSUMED-ANALYSED = W/o seeds, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03301123;A0143,A0455,A0629,A0671,A0707,A0732,A0833,B1329,C0140,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0833;1;49;Kernefrugt;Pome fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grønne ærter, rå;Peas, green, raw;55;Pisum sativum (Linnaeus, 1753);3888;A012J;Garden peas (without pods);FOODON_03317199;A0152,A0455,A0629,A0650,A0704,A0730,A0831,B1338,C0155,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0831;1;171;Friske bælgplanter;Fresh legumes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
