SourceID;EurofirRefType;URL;Language;TitleOriginal;TitelDansk;TitleEnglish;Publisher;ReportNumber;ISBN;ISSN;PublicationName;Year;Volume;Issue;PageStart;PageEnd
1045;AJ;NULL;Danish;Næringsværdien af okse- og kalvekød;Næringsværdien af okse- og kalvekød;The nutritional value of beef and veal;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1981;21;4;19;32
1046;R;NULL;Danish;Næringsindholdet i nyere mælkeprodukter;Næringsindholdet i nyere mælkeprodukter;The nutritional content of newer dairy products;Statens Levnedsmiddelinstitut;Publikation nr. 60;NULL;NULL;NULL;1982;NULL;NULL;NULL;NULL
1047;P;NULL;Danish;Folinsyre i konsummælkprodukter;Folinsyre i konsummælkprodukter;Folic acid in consumer milk products;Statens Levnedsmiddelinstitut;222.2-27/1-1980;NULL;NULL;NULL;1981;NULL;NULL;NULL;NULL
1049;X;NULL;Danish;A-vitamin (retinol), karotin og D-vitamin i smørprøver udtaget i 1980;A-vitamin (retinol), karotin og D-vitamin i smørprøver udtaget i 1980;Vitamin A (retinol), carotene and vitamin D in butter samples taken in 1980;Levnedsmiddelstyrelsen;NULL;NULL;NULL;NULL;1981;NULL;NULL;NULL;NULL
1050;AJ;NULL;Danish;Fedtsyrerne i margarine og minarine;Fedtsyrerne i margarine og minarine;The fatty acids in margarine and minarine;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1979;19;4;19;27
1051;R;NULL;Danish;Overvågningsprogram for sporelementer i levnedsmidler 1993-1997, 1997: Bly i drikkevarer;Overvågningsprogram for sporelementer i levnedsmidler 1993-1997, 1997: Bly i drikkevarer;Monitoring Programme for Trace Elements in Food 1993-1997, 1997: Lead in beverages;Veterinær- og Fødevar.edirektoratet, Ministeriet for Fødevarer, Landbrug og Fiskeri;Intern rapport IFE, Projekt nr. 97425-01;NULL;NULL;NULL;1998;NULL;NULL;NULL;NULL
1053;AJ;NULL;Danish;Proteinindholdet i flæskesværd og heraf fremstillede produkter;Proteinindholdet i flæskesværd og heraf fremstillede produkter;The protein content of pork skin and its products;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1978;18;1;10;10
1055;AJ;NULL;Danish;Jodindholdet i den danske kost;Jodindholdet i den danske kost;The iodine content of Danish food;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1982;22;1;1;6
1056;R;NULL;Danish;E-vitaminindholdet i dybfrosne grøntsager sammenlignet med indholdet i friske grøntsager;E-vitaminindholdet i dybfrosne grøntsager sammenlignet med indholdet i friske grøntsager;The vitamin E content in frozen vegetables compared with the content in fresh vegetables;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation Nr. 58;NULL;NULL;NULL;1982;NULL;NULL;NULL;NULL
1057;R;NULL;Danish;Vitamin D-indholdet i danske levnedsmidler;Vitamin D-indholdet i danske levnedsmidler;The Conten t of Vitamin D in Danish Foods;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 69;87-503-4402-1;0106-8423;NULL;1982;NULL;NULL;NULL;NULL
1058;R;NULL;Danish;Magnesium-, natrium og kaliumindholdet i danske levnedsmidler;Magnesium-, natrium og kaliumindholdet i danske levnedsmidler;The Content of Magnesium, Sodium and Potassium in Danish Foods;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 82;87-503-4706-3;0106-8423;NULL;1983;NULL;NULL;NULL;NULL
1059;R;NULL;Danish;Aminosyreindholdet i danske levnedsmidler. Tillæg med gennemsnitsværdier for grupper af levnedsmidler, omregnet til mg/g N af Anders Møller;Aminosyreindholdet i danske levnedsmidler. Tillæg med gennemsnitsværdier for grupper af levnedsmidler, omregnet til mg/g N af Anders Møller;The amino acid content of Danish foods. Supplement with average values ;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 98;87-503-5249-0;0106-8423;NULL;1984;NULL;NULL;NULL;NULL
1060;AJ;NULL;Danish;Indholdet af folinsyre, B12-vitamin og E-vitamin i foderblandingsingredienser;Indholdet af folinsyre, B12-vitamin og E-vitamin i foderblandingsingredienser;The content of folic acid, vitamin B12 and vitamin E in compound feed ingredients;Danmarks Jordbrugsvidenskabelige kandidatforbund;NULL;NULL;0106-0546;Ugeskrift for Jordbrug: Agronomer, Hortonomer, Forstkandidater, Licentiater;1978;7;NULL;NULL;NULL
1061;R;NULL;Danish;Pålægsvarer - Næringsstoffer, tilsætningsstoffer, spormetaller;Pålægsvarer - Næringsstoffer, tilsætningsstoffer, spormetaller;Meat Produets - Nutrients, Food Additives, Trace Metals;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 89;87-503-4999-6;0106-8423;NULL;1984;NULL;NULL;NULL;NULL
1062;R;NULL;Danish;Undersøgelse af kager og andet bagværk - Næringsstoffer, tilsætningsstoffer;Undersøgelse af kager og andet bagværk - Næringsstoffer, tilsætningsstoffer;An Investigation of Cakes and other Pastries - Nutrients, Food Additives;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 94;87-503-5160-5;0106-8423;NULL;1984;NULL;NULL;NULL;NULL
1063;R;NULL;Danish;Mad fra grillbar og pølsevogn - Næringsstoffer og sporelementer;Mad fra grillbar og pølsevogn - Næringsstoffer og sporelementer;Fast Food - Nutrients and Trace Elements;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 105;87-503-5309-8;0106-8423;NULL;1984;NULL;NULL;NULL;NULL
1064;R;NULL;Danish;Morgenmadsprodukter - Energigivende bestanddele, sukkerarter, kostfiber og mineraler i kornprodukter;Morgenmadsprodukter - Energigivende bestanddele, sukkerarter, kostfiber og mineraler i kornprodukter;Breakfast Cereals - Proximate Constituents, Sugars, Dietary Fibre and Minerals;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 102;87-503-5302-0;0106-8423;NULL;1984;NULL;NULL;NULL;NULL
1065;R;NULL;Danish;Kontrol med næringsstoffer udført i 1982 på Statens Levnedsmiddelinstitut;Kontrol med næringsstoffer udført i 1982 på Statens Levnedsmiddelinstitut;Control of nutrients carried out in 1982 at the National Food Institute;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 85;87-503-4791-8;0106-8423;NULL;1983;NULL;NULL;NULL;NULL
1066;R;NULL;Danish;Overvågningssystem for næringsstoffer - Brød og cerealier;Overvågningssystem for næringsstoffer - Brød og cerealier;Food Monitoring System for Nutrients - Bread and Cereals;Levnedsmiddelstyrelsen, Miljøministeriet;Publikation nr. 141;87-503-6687-4;0901-4322;NULL;1987;NULL;NULL;NULL;NULL
1067;R;NULL;Danish;Overvågningssystem for næringsstoffer - Mejeriprodukter;Overvågningssystem for næringsstoffer - Mejeriprodukter;Food Monitoring System for Nutrients - Dairy Products;Levnedsmiddelstyrelsen, Miljøministeriet;Publikation nr. 151;87-503-6966-0;0901-4322;NULL;1987;NULL;NULL;NULL;NULL
1068;R;NULL;Danish;Overvågningssystem for næringsstoffer - Frugt og grøntsager;Overvågningssystem for næringsstoffer - Frugt og grøntsager;Food Monitoring System for Nutrients - Fruit and vegetables;Levnedsmiddelstyrelsen;Publikation nr. 153;87-503-6985-7;0901-4322;NULL;1987;NULL;NULL;NULL;NULL
1069;R;NULL;Danish;Overvågningssystem for næringsstoffer - Fisk og fiskeprodukter;Overvågningssystem for næringsstoffer - Fisk og fiskeprodukter;Food Monitoring System for Nutrients - Fish and Fish Products;Levnedsmiddelstyrelsen;Publikation nr. 179;87-503-7772-8;0903-9783;NULL;1989;NULL;NULL;NULL;NULL
1070;R;NULL;Danish;Overvågningssystem for næringsstoffer, kød;Overvågningssystem for næringsstoffer, kød;Food Monitoring System for Nutrients, Meat;Levnedsmiddelstyrelsen;Publikation nr. 173;87-503-7652-7;NULL;NULL;1989;NULL;NULL;NULL;NULL
1071;R;NULL;Danish;Folacin og biotin i levnedsmidler;Folacin og biotin i levnedsmidler;Folacin and Biotin in Foods;Levnedsmiddelstyrelsen;Publikation nr. 157;87-503-7085-5;0901-4322;NULL;1988;NULL;NULL;NULL;NULL
1072;R;NULL;Danish;Indhold af B6-vitamin i levnedsmidler;Indhold af B6-vitamin i levnedsmidler;Content of Vitamin B-6 in Foods;Levnedsmiddelstyrelsen, Sundhedsministeriet;Publikation nr. 159;87-503-7099-5;0901-4322;NULL;1988;NULL;NULL;NULL;NULL
1073;P;NULL;Danish;Resultater af analyser på energigivende næringsstoffer og C-vitamin i danske vegetabilier;Resultater af analyser på energigivende næringsstoffer og C-vitamin i danske vegetabilier;Results of analyzes on energy-containing nutrients and vitamin C in Danish vegetables;Statens Levnedsmiddelinstitut, Miljøministeriet;Landsdelslaboratorieprojekt 1983;NULL;NULL;NULL;1983;NULL;NULL;NULL;NULL
1074;R;NULL;Danish;Færdige middagsretter - Næringsstoffer, tilsætningsstoffer, spormetaller;Færdige middagsretter - Næringsstoffer, tilsætningsstoffer, spormetaller;Ready-prepared Dishes - Nutrients, Food Additives, Trace Metals;Levnedsmiddelstyrelsen, Miljøministeriet;Publikation nr. 115;87-503-5786-7;0106-8423;NULL;1985;NULL;NULL;NULL;NULL
1075;R;NULL;Danish;Importeret Rugbrød - Indhold af energigivende bestanddele, kostfiber og mineraler;Importeret Rugbrød - Indhold af energigivende bestanddele, kostfiber og mineraler;Imported Rye Bread - Content of energy-containing ingredients, dietary fiber and minerals;Levnedsmiddelstyrelsen;Intern rapport CLA 1984;NULL;NULL;NULL;1984;NULL;NULL;NULL;NULL
1076;R;NULL;Danish;A-vitamin i indmad - Projekt 834A57;A-vitamin i indmad - Projekt 834A57;Vitamin A in offal - Project 834A57;Statens Levnedsmiddelinstitut, Miljøministeriet;Rapport A85001;NULL;NULL;NULL;1985;NULL;NULL;NULL;NULL
1077;R;NULL;Danish;A-vitamin- og fedtindhold i sild - Projekt 834A57;A-vitamin- og fedtindhold i sild - Projekt 834A57;Vitamin A and fat content of herring - Project 834A57;Statens Levnedsmiddelinstitut, Miljøministeriet;"Rapport A84005; Projekt 834A57";NULL;NULL;NULL;1984;NULL;NULL;NULL;NULL
1079;R;NULL;Danish;Helsekostforretningernes varesortiment - Delrapport 2: Laboratorieundersøgelser og konklusioner;Helsekostforretningernes varesortiment - Delrapport 2: Laboratorieundersøgelser og konklusioner;The product range of health food stores - Sub-report 2: Laboratory studies and conclusions;Statens Levnedsmiddelinstitut;Publikation nr. 111;87-503-5730-1;0106-8423;NULL;1985;NULL;NULL;NULL;NULL
1081;R;NULL;Danish;Ferskvandsfisk - Indhold af sporelementer, PCB og chlorholdige pesticider;Ferskvandsfisk - Indhold af sporelementer, PCB og chlorholdige pesticider;Danish Fresh Water Fish - Contents of Trace Elements, PCB and Chlorinated Pesticides;Levnedsmiddelstyrelsen, Miljøministeriet;Publikation nr. 138;87-503-6504-5;0901-4322;NULL;1986;NULL;NULL;NULL;NULL
1082;R;NULL;Danish;Bly, cadmium, kobber og zink i frugt og grøntsager 1977-80;Bly, cadmium, kobber og zink i frugt og grøntsager 1977-80;Lead, Cadmium, Copper and Zinc in Fruit and Vegetables 1977-80;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 84;87-503-4770-5;0106-8423;NULL;1983;NULL;NULL;NULL;NULL
1088;R;NULL;Danish;Sporelementer i drikkevarer;Sporelementer i drikkevarer;Trace Elements in Beverages;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 53;87-503-3815-3;0106-8423;NULL;1981;NULL;NULL;NULL;NULL
1097;R;NULL;Danish;Konservesundersøgelsen 1. delrapport: Sardiner;Konservesundersøgelsen 1. delrapport: Sardiner;Canned Foods Study, 1st sub-report: Sardines;Statens Levnedsmiddelinstitut;NULL;NULL;NULL;NULL;1976;NULL;NULL;NULL;NULL
1099;R;NULL;Danish;Konservesundersøgelsen 3. delrapport: Fiskekonserves;Konservesundersøgelsen 3. delrapport: Fiskekonserves;Canned Foods Study, 3rd sub-report: Canned fish;Statens Levnedsmiddelinstitut;NULL;NULL;NULL;NULL;1978;NULL;NULL;NULL;NULL
1101;F;NULL;Danish;Overfølsomhedsfremkaldende Stoffer i Levnedsmidler. Indhold af Benzoesyre og Salicylsyre. Levnedsmiddelstyrelsens Databank for Indholdsstoffer i Levnedsmidler;Overfølsomhedsfremkaldende Stoffer i Levnedsmidler. Indhold af Benzoesyre og Salicylsyre. Levnedsmiddelstyrelsens Databank for Indholdsstoffer i Levnedsmidler;Allergens in Foods. Benzoic Acid and Salicylic Acid Contents. The Danish Food Safety Authority's Database for Ingredients in Foodstuffs;Levnedsmiddelstyrelsen;NULL;NULL;NULL;NULL;1987;NULL;NULL;NULL;NULL
1102;R;NULL;Danish;Sporelementer i kød og organer fra danske slagtedyr, 1972-82;Sporelementer i kød og organer fra danske slagtedyr, 1972-82;Trace Elements in Meat and Organs from Danish Slaughtered Animals, 1972-82;Levnedsmiddelstyrelsen, Miljøministeriet;Publikation nr. 131;87-503-6325-5;0901-4322;NULL;1986;NULL;NULL;NULL;NULL
1103;R;NULL;Danish;Bly, cadmium, kobber og zink i danskproduceret frugt og grøntsager, 1977-78;Bly, cadmium, kobber og zink i danskproduceret frugt og grøntsager, 1977-78;Lead, Cadmium, Copper and Zinc in Danish Fruit and Vegetables, 1977-78;Statens Levnedsmiddelinstitut;Publikation nr. 40;87-503-3109-4;NULL;NULL;1979;NULL;NULL;NULL;NULL
1104;R;NULL;Danish;Kornprodukter - Sporelementer, pesticider, næringsstoffer, tilsætningsstoffer, nitrat og nitrit, ochratoxin-A og meldrøjer;Kornprodukter - Sporelementer, pesticider, næringsstoffer, tilsætningsstoffer, nitrat og nitrit, ochratoxin-A og meldrøjer;Cereals and Cereal Products - Trace Elements, Pesticides, Nutrients, Food Additives, Nitrate and Nitrite, Ochratoxin-A and Ergots;Statens Levnedsmiddelinstitut, Miljøministeriet;Publikation nr. 93;87-503-5087-0;0106-8423;NULL;1984;NULL;NULL;NULL;NULL
1118;AJ;NULL;Danish;Markedsundersøgelser af dybfrossen, hakket spinat 1964;Markedsundersøgelser af dybfrossen, hakket spinat 1964;Market research of deep-frozen, chopped spinach 1964;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1964;4;4;123;130
1124;AJ;NULL;Danish;Undersøgelse af brød;Undersøgelse af brød;Examination of bread;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1974;14;1;35;55
1126;R;NULL;Danish;Overvågningssystem for næringsstoffer - Fisk, 3. runde;Overvågningssystem for næringsstoffer - Fisk, 3. runde;Food monitoring system for nutrients - Fish, 3rd Cycle;Fødevaredirektoratet, Ministeriet for Fødevarer, Landbrug og Fiskeri;FødevareRapport 1999:09;87-90978-12-9;1399-0829;NULL;1999;NULL;NULL;NULL;NULL
1127;R;NULL;Danish;Overvågningssystem for næringsstoffer - Kød, 3. runde;Overvågningssystem for næringsstoffer - Kød, 3. runde;Food monitering system for nutrients - Meat, 3rd Cycle;Fødevaredirektoratet, Ministeriet for Fødevarer, Landbrug og Fiskeri;FødevareRapport 1999:10;87-90978-13-7;1399-0829;NULL;1999;NULL;NULL;NULL;NULL
1138;AJ;NULL;Danish;Mayonnaisesalater - 1. del;Mayonnaisesalater - 1. del;Mayonnaise-based Salads - Part 1;Statens Husholdningsråd;NULL;NULL;NULL;Husholdningsrådets Tekniske Meddelelser;1983;23;6;91;103
1162;AJ;https://doi.org/10.1038/sj.ejcn.1600893;English;Iodine content in drinking water and other beverages in Denmark;Jodindhold i drikkevand og andre drikkevarer i Danmark;Iodine content in drinking water and other beverages in Denmark;Macmillan Publishers Ltd.;NULL;NULL;0954-3007;European Journal of Clinical Nutrition;2000;54;1;57;60
1165;R;NULL;Danish;Næringsstofindhold i chips;Næringsstofindhold i chips;Nutrient content in chips;Fødevaredirektoratet, Ministeriet for Fødevarer, Landbrug og Fiskeri;FødevareRapport 2001:04;87-90978-59-5;1399-0829;NULL;2001;NULL;NULL;NULL;NULL
1217;R;NULL;Danish;Indhold af laktose og mælkesyre samt beregninger af kalorieværdi og tørstofkomponenter i danske oste;Indhold af laktose og mælkesyre samt beregninger af kalorieværdi og tørstofkomponenter i danske oste;Contents of Lactose and Lactic Acid and Calculations of Calorific Values and Dry Matter Components of Danish Cheeses;Statens Forsøgsmejeri, Hillerød;205 beretning;NULL;0901-2958;NULL;1974;NULL;NULL;NULL;NULL
1220;R;NULL;Danish;Lagringstemperaturens betydning for forskellige smørtypers holdbarhed ved kølelagring;Lagringstemperaturens betydning for forskellige smørtypers holdbarhed ved kølelagring;The Effect of Temperature on the Keeping Quality of Different Butter Varieties in Cold Storage;Statens Forsøgsmejeri, Hillerød;222 beretning;NULL;0901-2958;NULL;1977;NULL;NULL;NULL;NULL
1221;AJ;NULL;Danish;Den kemiske sammensætning og næringsværdi af danske oste;Den kemiske sammensætning og næringsværdi af danske oste;The chemical composition and nutritional value of Danish cheeses;Dansk Mejeristforening;NULL;NULL;0024-9645;Mælkeritidende;1981;94;3;52;54
1224;R;NULL;Danish;Konsummælkprodukternes indhold af kulhydrater samt mælke- og citronsyre;Konsummælkprodukternes indhold af kulhydrater samt mælke- og citronsyre;Carbohydrates, lactic acids and citric acid in liquid milk products;Statens Forsøgsmejeri, Hillerød;243 beretning;NULL;NULL;NULL;1981;NULL;NULL;NULL;NULL
